,Stunted,,Underweight,,Wasted,
,height for age < -2 SD),,weight for age < -2 SD),,weight for height < -2 SD),
,AOR (95% CI),p,AOR (95% CI),p,AOR (95% CI),p
Year 2014,1.04 (0.90 - 1.19),0.60,0.74 (0.63 - 0.88),0.00,0.71 (0.56 - 0.91),0.01
Child age (months),1.01 (1.01 - 1.02),0.00,1.01 (1.00 - 1.01),0.00,0.99 (0.98 - 0.99),0.00
Birth interval,0.99 (0.99 - 1.00),0.00,0.99 (0.99 - 1.00),0.00,0.93 (0.87 - 1.00),0.04
Birth order number,1.05 (1.01 - 1.10),0.01,0.96 (0.91 - 1.00),0.07,0.99 (0.98 - 0.99),0.00
Childs sex,,,,,,
Male,1.45 (1.30 - 1.62),0.00,1.35 (1.17 - 1.55),0.00,1.22 (1.00 - 1.48),0.05
Female,ref,,ref,,ref,
Delivery place,,,,,,
Home,ref,,ref,,ref,
Public ,0.81 (0.70 - 0.94),0.01,0.67 (0.56 - 0.81),0.00,0.71 (0.54 - 0.94),0.02
Private,0.85 (0.69 - 1.06),0.15,0.67 (0.50 - 0.89) ,0.01,0.75 (0.50 - 1.14),0.18
Other,1.18 (0.72 - 1.93),0.50,1.19 (0.63 - 2.25),0.59,1.96 (0.79 - 4.87),0.15
Residence,,,,,,
Urban,0.88 (0.74 - 1.03),0.11,0.79 (0.64 - 0.99),0.04,1.01 (0.76 - 1.34),0.96
Rural,ref,,ref,,ref,
Religion,,,,,,
Catholic,0.42 (0.31 - 0.58),0.00,0.54 (0.38 - 0.78),0.00,0.39 (0.26 - 0.59),0.00
Protestant,0.47 (0.35 - 0.63),0.00,0.53 (0.38 - 0.73),0.00,0.48 (0.33 - 0.71),0.00
Muslim,0.35 (0.24 - 0.51),0.00,0.34 (0.22 - 0.53),0.00,0.41 (0.24 - 0.69),0.00
Other,0.47 (0.26 - 0.83),0.01,0.59 (0.31 - 1.13),0.11,0.54 (0.24 - 1.20),0.13
Atheist,ref,,ref,,ref,
Economic status,,,,,,
Poorest,1.67 (1.24 - 2.26),0.00,1.08 (0.74 - 1.56),0.69,0.90 (0.58 - 1.42),0.66
Poorer,1.46 (1.08 - 1.98),0.01,0.80 (0.56 - 1.16),0.24,0.51 (0.31 - 0.82),0.01
Middle,1.32 (0.98 - 1.79),0.07,0.85 (0.59 - 1.23),0.39,1.05 (0.65 - 1.69),0.85
Richer,1.23 (0.91 - 1.66),0.07,0.76 (0.53 - 1.11),0.16,0.85 (0.55 - 1.31),0.46
Richest,ref,,,,ref,
Mothers education,,,,,,
None,ref,,ref,,ref,
Primary,1.12 (0.92 - 1.37),0.27,0.82 (0.65 - 1.03),0.08,0.61 (0.45 - 0.83),0.00
Higher,0.81 (0.64 - 1.04),0.10,0.46 (0.34 - 0.63),0.00,0.42 (0.27 - 0.65),0.00
Mother's age (years),,,,,,
Under 24,ref,,ref,,ref,
25 - 34,0.78 (0.66 - 0.93),0.00,1.34 (1.08 - 1.66),0.01,1.25 (0.94 - 1.66),0.13
35+,0.65 (0.50 - 0.84),0.00,1.49 (1.08 - 2.05),0.00,1.60 (1.04 - 2.46),0.03
Mother employed,,,,,,
No,ref,,ref,,ref,
Yes,1.06 (0.93 - 1.21),0.37,1.02 (0.87 - 1.21),0.80,0.91 (0.72 - 1.15),0.44
Fathers education,,,,,,
None,ref,,ref,,ref,
Primary,0.91 (0.75 - 1.11),0.36,0.67 (0.53 - 0.85),0.00,0.64 (0.46 - 0.89),0.01
Higher,0.75 (0.59 - 0.94),0.01,0.65 (0.49 - 0.86),0.00,0.64 (0.43 - 0.96),0.03
Region,,,,,,
Coast,0.62 (0.41 - 0.93),0.02,0.85 (0.54 - 1.33),0.48,0.70 (0.39 - 1.26),0.23
N.eastern,0.34 (0.22 - 0.55),0.00,0.82 (0.52 - 1.29),0.38,1.29 (0.71 - 2.36),0.40
Eastern,0.62 (0.42 - 0.91),0.01,0.87 (0.58 - 1.29),0.49,0.98 (0.56 - 1.70),0.93
Central,0.48 (0.31 - 0.74),0.00,0.58 (0.36 - 0.96),0.03,0.48 (0.23 - 1.00),0.05
R. Valley,0.51 (0.35 - 0.74),0.00,0.79 (0.54 - 1.15),0.21,0.84 (0.50 - 1.40),0.50
Western,0.39 (0.26 - 0.59),0.00,0.48 (0.30 - 0.76),0.00,0.42 (0.21 - 0.82),0.01
Nyanza,0.36 (0.24 - 0.54),0.00,0.52 (0.34 - 0.79),0.00,0.45 (0.25 - 0.83),0.01
Nairobi,ref,,ref,,ref,
